title,author,publication_date
"To Kill a Mockingbird","Harper Lee",1960
"1984","George Orwell",1949
"Pride and Prejudice","Jane Austen",1813
"The Great Gatsby","F. Scott Fitzgerald",1925
"Moby-Dick","Herman Melville",1851
"War and Peace","Leo Tolstoy",1869
"The Catcher in the Rye","J.D. Salinger",1951
"The Hobbit","J.R.R. Tolkien",1937
"Brave New World","Aldous Huxley",1932
"Crime and Punishment","Fyodor Dostoevsky",1866
"The Picture of Dorian Gray","Oscar Wilde",1890
"The Road","Cormac McCarthy",2006
"The Alchemist","Paulo Coelho",1988
"Catch-22","Joseph Heller",1961
"The Kite Runner","Khaled Hosseini",2003
"One Hundred Years of Solitude","Gabriel García Márquez",1967
"The Brothers Karamazov","Fyodor Dostoevsky",1880
"Don Quixote","Miguel de Cervantes",1605
"Harry Potter and the Sorcerer's Stone","J.K. Rowling",1997
"The Lord of the Rings","J.R.R. Tolkien",1954
"Bel-Ami","Guy de Maupassant",1885
"Madame Bovary","Gustave Flaubert",1857
"Anna Karenina","Leo Tolstoy",1877
"In Search of Lost Time","Marcel Proust",1913
"The Old Man and the Sea","Ernest Hemingway",1952
"The Stranger","Albert Camus",1942
"Things Fall Apart","Chinua Achebe",1958
"Heart of Darkness","Joseph Conrad",1899
"Jane Eyre","Charlotte Brontë",1847
"Wuthering Heights","Emily Brontë",1847
"Les Misérables","Victor Hugo",1862
"The Count of Monte Cristo","Alexandre Dumas",1844
"The Grapes of Wrath","John Steinbeck",1939
"Ulysses","James Joyce",1922
"Dubliners","James Joyce",1914
"Lord of the Flies","William Golding",1954
"Fahrenheit 451","Ray Bradbury",1953
"Sense and Sensibility","Jane Austen",1811
"The Sound and the Fury","William Faulkner",1929
"The Bell Jar","Sylvia Plath",1963
"The Little Prince","Antoine de Saint-Exupéry",1943
"The Handmaid's Tale","Margaret Atwood",1985
"Germinal","Émile Zola",1885
"Dracula","Bram Stoker",1897
"The Master and Margarita","Mikhail Bulgakov",1966
"The Trial","Franz Kafka",1925
"Meditations","Marcus Aurelius",180
"The Divine Comedy","Dante Alighieri",1320
"The Iliad","Homer",-800
"The Odyssey","Homer",-800
"The Republic","Plato",-380
"The Prince","Niccolò Machiavelli",1532
"Leaves of Grass","Walt Whitman",1855
"On the Road","Jack Kerouac",1957
"The Magic Mountain","Thomas Mann",1924
"A Tale of Two Cities","Charles Dickens",1859
"A Clockwork Orange","Anthony Burgess",1962
"Frankenstein","Mary Shelley",1818
"Persuasion","Jane Austen",1817
"Meditations","Marcus Aurelius",180
"Thus Spoke Zarathustra","Friedrich Nietzsche",1883
"The Secret Garden","Frances Hodgson Burnett",1911
"The Time Machine","H.G. Wells",1895
"Middlemarch","George Eliot",1871
"Alice's Adventures in Wonderland","Lewis Carroll",1865
"Great Expectations","Charles Dickens",1861
"Siddhartha","Hermann Hesse",1922
"The Wind-Up Bird Chronicle","Haruki Murakami",1994
"Journey to the Center of the Earth","Jules Verne",1864
"Robinson Crusoe","Daniel Defoe",1719
"The Call of the Wild","Jack London",1903
"Through the Looking-Glass","Lewis Carroll",1871
"A Room of One's Own","Virginia Woolf",1929
"The Metamorphosis","Franz Kafka",1915
"Gulliver's Travels","Jonathan Swift",1726
"The Plague","Albert Camus",1947
"A Farewell to Arms","Ernest Hemingway",1929
"The Idiot","Fyodor Dostoevsky",1869
"Nineteen Eighty-Four","George Orwell",1949
"Brave New World","Aldous Huxley",1932
"Alice in Wonderland","Lewis Carroll",1865
"Oliver Twist","Charles Dickens",1837
"Dracula","Bram Stoker",1897
"A Confederacy of Dunces","John Kennedy Toole",1980
"The Man Without Qualities","Robert Musil",1930
"Mrs. Dalloway","Virginia Woolf",1925
"Walden","Henry David Thoreau",1854
"Confessions","Jean-Jacques Rousseau",1782
"Animal Farm","George Orwell",1945
"The Sun Also Rises","Ernest Hemingway",1926
"The Portrait of a Lady","Henry James",1881
"Notes from Underground","Fyodor Dostoevsky",1864
"Swann's Way","Marcel Proust",1913
"Invisible Man","Ralph Ellison",1952
"A Good Man is Hard to Find","Flannery O'Connor",1955
"Paradise Lost","John Milton",1667
"Love in the Time of Cholera","Gabriel García Márquez",1985
"Chronicle of a Death Foretold","Gabriel García Márquez",1981
"Hopscotch","Julio Cortázar",1963
"Twenty Love Poems and a Song of Despair","Pablo Neruda",1924
"Cien Años de Soledad","Gabriel García Márquez",1967
"The Shining","Stephen King",1977
"The House of the Spirits","Isabel Allende",1982
"Thus Spoke Zarathustra","Friedrich Nietzsche",1883
"Pedro Páramo","Juan Rulfo",1955
"The Savage Detectives","Roberto Bolaño",1998
"The Tunnel","Ernesto Sabato",1948
"Prosas Apátridas","Julio Ramón Ribeyro",1975
"Candide","Voltaire",1759